type,x,mean_mag
time_sec,152.0,6.079409746890826e-07
time_sec,153.0,5.536428278378846e-07
time_sec,154.0,7.308649709429766e-07
time_sec,155.0,7.372567641313625e-07
time_sec,156.0,5.983679701638971e-07
time_sec,157.0,7.134913092194532e-07
time_sec,158.0,9.925337334914135e-07
time_sec,159.0,7.755476691006912e-06
time_sec,160.0,6.11175479812166e-06
time_sec,161.0,4.9013839807555755e-06
time_sec,162.0,2.300807919142885e-06
time_sec,163.0,1.0311994094214057e-06
time_sec,164.0,1.0834751300448609e-06
time_sec,165.0,4.578156535405697e-06
time_sec,166.0,2.630195800463004e-06
time_sec,167.0,9.621305282831451e-06
time_sec,168.0,2.9377890170577e-06
time_sec,169.0,1.678406650527402e-06
time_sec,170.0,9.503040388342415e-07
time_sec,171.0,7.61376177361723e-07
time_sec,172.0,7.449747913753749e-07
time_sec,173.0,6.333038012140218e-07
time_sec,174.0,6.431364978754345e-07
time_sec,175.0,9.07102210790894e-07
time_sec,176.0,6.66736748324495e-07
time_sec,177.0,5.765636455546848e-07
time_sec,178.0,7.891308669760127e-07
time_sec,179.0,6.900628811557745e-07
time_sec,180.0,3.946690829004136e-07
freq_hz,0.5,4.835587598933801e-06
freq_hz,1.0,6.322576718093147e-06
freq_hz,1.5,4.850663364885868e-06
freq_hz,2.0,3.3601770068900244e-06
freq_hz,2.5,2.6609926097186386e-06
freq_hz,3.0,2.3313374172344347e-06
freq_hz,3.5,1.974731468871542e-06
freq_hz,4.0,1.7830845879904672e-06
freq_hz,4.5,1.4983029571301845e-06
freq_hz,5.0,1.2895100037283383e-06
freq_hz,5.5,1.1006245370730213e-06
freq_hz,6.0,1.0232883768004262e-06
freq_hz,6.5,1.0712408047801332e-06
freq_hz,7.0,1.0902297018763081e-06
freq_hz,7.5,1.1033058036011444e-06
freq_hz,8.0,1.037915119740409e-06
freq_hz,8.5,1.0469299062463044e-06
freq_hz,9.0,9.719590988806058e-07
freq_hz,9.5,9.039174334252415e-07
freq_hz,10.0,8.566644682048618e-07
freq_hz,10.5,7.76465750076797e-07
freq_hz,11.0,7.534667726767134e-07
freq_hz,11.5,6.97841608045061e-07
freq_hz,12.0,6.433773037893604e-07
freq_hz,12.5,6.275946204154689e-07
freq_hz,13.0,6.049934510052892e-07
freq_hz,13.5,6.037574996561327e-07
freq_hz,14.0,6.032608869878889e-07
freq_hz,14.5,5.962363421135019e-07
freq_hz,15.0,5.640896533590074e-07
freq_hz,15.5,5.531857028724245e-07
freq_hz,16.0,5.417420685036969e-07
freq_hz,16.5,5.123566128298704e-07
freq_hz,17.0,5.008762182364434e-07
freq_hz,17.5,4.994829517347676e-07
freq_hz,18.0,4.841160918869087e-07
freq_hz,18.5,4.447423373892037e-07
freq_hz,19.0,4.3562370218454806e-07
freq_hz,19.5,4.2643477783448157e-07
freq_hz,20.0,4.5464242282444967e-07
freq_hz,20.5,4.363566415723134e-07
freq_hz,21.0,4.036588984570535e-07
freq_hz,21.5,4.0690426450007976e-07
freq_hz,22.0,4.0018423246632237e-07
freq_hz,22.5,3.9964409866011934e-07
freq_hz,23.0,3.897464020718902e-07
freq_hz,23.5,3.919500574995908e-07
freq_hz,24.0,3.831164453244753e-07
freq_hz,24.5,3.8971200488585514e-07
freq_hz,25.0,3.9779182824894476e-07
freq_hz,25.5,3.9343510212124374e-07
freq_hz,26.0,4.0146232254544475e-07
freq_hz,26.5,3.9787350849235703e-07
freq_hz,27.0,3.9791200135204283e-07
freq_hz,27.5,4.0820092897181704e-07
freq_hz,28.0,3.8741202993498165e-07
freq_hz,28.5,3.9075042673198256e-07
freq_hz,29.0,3.9001023393289375e-07
freq_hz,29.5,3.905052177163692e-07
freq_hz,30.0,4.058092288107155e-07
freq_hz,30.5,4.1678229340843294e-07
freq_hz,31.0,4.1324819353611244e-07
freq_hz,31.5,4.1607311229750963e-07
freq_hz,32.0,3.8943093272428115e-07
freq_hz,32.5,3.88252266918723e-07
